line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
1,MS13_H01_A0_0010_F_ABR_0010.wav,MS13_H01_A0_0010_F_ABR_0010,0,0,0,1,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ตกใจงั้นเหรอ ท่านก็รู้อยู่แล้วนี่เจ้าคะ ไฮแซนต์ไม่มีวันเปิดนาเกลือให้ใครอยู่แล้ว,,,PENDING_MANUAL_GENERATION,,triangle-strategy
2,MS13_H01_A0_0010_F_ABR_0020.wav,MS13_H01_A0_0010_F_ABR_0020,1,1,1,2,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เล่นกับไฟก็ระวังโดนเผาเสียเองแล้วกันเจ้าค่ะ ตอนนี้พวกเราพึ่งพาใครไม่ได้นอกจากต้องสู้กับพวกมันโดยไม่มีอาร์ชดยุก,,,PENDING_MANUAL_GENERATION,,triangle-strategy
3,MS13_H01_A0_0010_F_ABR_0030.wav,MS13_H01_A0_0010_F_ABR_0030,2,2,2,3,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,พอได้แล้วธาลาส อย่ามาปากดีกับองค์ราชินีแบบนี้นะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
4,MS13_H01_A0_0010_F_ABR_0040.wav,MS13_H01_A0_0010_F_ABR_0040,3,3,3,4,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,นายกรัฐมนตรีมีหน้าที่ข่มเหงรังแกคนอ่อนแอด้วยเหรอเจ้าคะ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
5,MS13_H01_A0_0010_F_ABR_0050.wav,MS13_H01_A0_0010_F_ABR_0050,4,4,4,5,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ไม่ต้องกังวลเจ้าค่ะองค์ราชินี ข้าจะปกป้องท่านเอง,,,PENDING_MANUAL_GENERATION,,triangle-strategy
6,MS13_H01_A0_0010_F_ABR_0060.wav,MS13_H01_A0_0010_F_ABR_0060,5,5,5,6,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เพราะท่านมีเลือดนักสู้ ท่านไม่ยอมแพ้แม้ต้องสู้ด้วยตัวคนเดียวเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
7,MS13_H01_A0_0010_F_ABR_0070.wav,MS13_H01_A0_0010_F_ABR_0070,6,6,6,7,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ข้าเป็นเด็กกำพร้า ไม่เคยเจอพ่อแม่... ข้าจึงเข้าร่วมทัพเพื่อสร้างตำแหน่งฐานะให้ตัวเอง,,,PENDING_MANUAL_GENERATION,,triangle-strategy
8,MS13_H01_A0_0010_F_ABR_0080.wav,MS13_H01_A0_0010_F_ABR_0080,7,7,7,8,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,จึงทำให้ข้าเข้าใจถึงความเจ็บปวดในการต่อสู้คนเดียวมากกว่าใครอื่น...,,,PENDING_MANUAL_GENERATION,,triangle-strategy
9,MS13_H01_A0_0010_F_ABR_0090.wav,MS13_H01_A0_0010_F_ABR_0090,8,8,8,9,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ท่านจะโค่นอาร์ชดยุกเหรอเจ้าคะ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
10,MS13_H01_A0_0010_F_ABR_0100.wav,MS13_H01_A0_0010_F_ABR_0100,9,9,9,10,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เจ้าค่ะ พวกเขาติดสินบนกันอย่างลับๆเพื่อผลประโยชน์ส่วนตนอีกด้วย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
11,MS13_H01_A0_0010_F_ABR_0110.wav,MS13_H01_A0_0010_F_ABR_0110,10,10,10,11,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,พาทริเอ็ทท์ ชายคนนั้นเริ่มตีสนิทกับอาร์ชดยุกทันทีที่ฝ่าบาทเร็กน่าถูกสังหาร คนอย่างเขาไม่ซื่อสัตย์เอาเสียเลย,,,PENDING_MANUAL_GENERATION,,triangle-strategy
12,MS13_H01_A0_0010_F_ABR_0120.wav,MS13_H01_A0_0010_F_ABR_0120,11,11,11,12,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ท่านจะบ้าเหรอ!?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
13,MS13_H01_A0_0010_F_ABR_0130.wav,MS13_H01_A0_0010_F_ABR_0130,12,12,12,13,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,แต่พวกเขาจะใช้ท่านเป็นหุ่นเชิด เพื่อแสวงผลประโยชน์ให้ตัวเองนะเจ้าคะ,,,PENDING_MANUAL_GENERATION,,triangle-strategy
14,MS13_H01_A0_0010_F_ABR_0140.wav,MS13_H01_A0_0010_F_ABR_0140,13,13,13,14,Avlora,npc,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,แล้วท่านคุมพวกเขาได้เหรอ?,,,PENDING_MANUAL_GENERATION,,triangle-strategy
