line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text,voice_project
4,V_F_ABR_E_BTL_00400.wav,V_F_ABR_E_BTL_00400,3,3,3,4,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,หนีไปซะ ตอนที่ยังมีโอกาส!,,,READY_FOR_GENERATION,,triangle-strategy
5,V_F_ABR_E_BTL_00500.wav,V_F_ABR_E_BTL_00500,4,4,4,5,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ข้าจะบดขยี้เจ้า!,,,READY_FOR_GENERATION,,triangle-strategy
6,V_F_ABR_E_BTL_00600.wav,V_F_ABR_E_BTL_00600,5,5,5,6,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,กล้าก็มาสู้กับข้า,,,READY_FOR_GENERATION,,triangle-strategy
7,V_F_ABR_E_BTL_00700.wav,V_F_ABR_E_BTL_00700,6,6,6,7,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,หนีไปซะ ตอนที่ยังมีโอกาส!,,,READY_FOR_GENERATION,,triangle-strategy
17,V_F_ABR_E_BTL_01700.wav,V_F_ABR_E_BTL_01700,16,16,16,17,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ไม่เลว,,,READY_FOR_GENERATION,,triangle-strategy
18,V_F_ABR_E_BTL_01800.wav,V_F_ABR_E_BTL_01800,17,17,17,18,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เก่งกว่าที่เห็นนะ,,,READY_FOR_GENERATION,,triangle-strategy
19,V_F_ABR_E_BTL_01900.wav,V_F_ABR_E_BTL_01900,18,18,18,19,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เจ้าไม่มีวันเอาชนะข้าได้!,,,READY_FOR_GENERATION,,triangle-strategy
20,V_F_ABR_E_BTL_02000.wav,V_F_ABR_E_BTL_02000,19,19,19,20,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ไม่เลว,,,READY_FOR_GENERATION,,triangle-strategy
27,V_F_ABR_E_BTL_02700.wav,V_F_ABR_E_BTL_02700,26,26,26,27,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ไอ้หมูโอหัง!,,,READY_FOR_GENERATION,,triangle-strategy
28,V_F_ABR_E_BTL_02800.wav,V_F_ABR_E_BTL_02800,27,27,27,28,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,อึก...,,STATUS_REACTION,READY_FOR_GENERATION,,triangle-strategy
29,V_F_ABR_E_BTL_02900.wav,V_F_ABR_E_BTL_02900,28,28,28,29,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ฮ้า!,,ATTACK_CRY,READY_FOR_GENERATION,,triangle-strategy
30,V_F_ABR_E_BTL_03000.wav,V_F_ABR_E_BTL_03000,29,29,29,30,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ฮ่า!,,ATTACK_CRY,READY_FOR_GENERATION,,triangle-strategy
31,V_F_ABR_E_BTL_03100.wav,V_F_ABR_E_BTL_03100,30,30,30,31,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,รับนี่ไป!,,,READY_FOR_GENERATION,,triangle-strategy
32,V_F_ABR_E_BTL_03200.wav,V_F_ABR_E_BTL_03200,31,31,31,32,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ย๊าก!,,ATTACK_CRY,READY_FOR_GENERATION,,triangle-strategy
33,V_F_ABR_E_BTL_03300.wav,V_F_ABR_E_BTL_03300,32,32,32,33,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ฮ้า!,,ATTACK_CRY,READY_FOR_GENERATION,,triangle-strategy
34,V_F_ABR_E_BTL_03400.wav,V_F_ABR_E_BTL_03400,33,33,33,34,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ฮึ่ย!,,ATTACK_CRY,READY_FOR_GENERATION,,triangle-strategy
35,V_F_ABR_E_BTL_03500.wav,V_F_ABR_E_BTL_03500,34,34,34,35,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เจ้าเทียบข้าไม่ได้เลย,,,READY_FOR_GENERATION,,triangle-strategy
36,V_F_ABR_E_BTL_03600.wav,V_F_ABR_E_BTL_03600,35,35,35,36,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เจ้าเทียบข้าไม่ได้เลย,,,READY_FOR_GENERATION,,triangle-strategy
142,V_F_ABR_E_BTL_14200.wav,V_F_ABR_E_BTL_14200,141,141,141,142,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,นี่ต้องเจ็บแน่,,,READY_FOR_GENERATION,,triangle-strategy
143,V_F_ABR_E_BTL_14300.wav,V_F_ABR_E_BTL_14300,142,142,142,143,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ยอมแพ้ซะ!,,,READY_FOR_GENERATION,,triangle-strategy
144,V_F_ABR_E_BTL_14400.wav,V_F_ABR_E_BTL_14400,143,143,143,144,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,บ้าเอ๊ย!,,,READY_FOR_GENERATION,,triangle-strategy
145,V_F_ABR_E_BTL_14500.wav,V_F_ABR_E_BTL_14500,144,144,144,145,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,น่าจะทำได้ดีกว่านี้,,,READY_FOR_GENERATION,,triangle-strategy
146,V_F_ABR_E_BTL_14600.wav,V_F_ABR_E_BTL_14600,145,145,145,146,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,โอ๊ย!,,HURT_CRY,READY_FOR_GENERATION,,triangle-strategy
147,V_F_ABR_E_BTL_14700.wav,V_F_ABR_E_BTL_14700,146,146,146,147,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,อึก!,,HURT_CRY,READY_FOR_GENERATION,,triangle-strategy
148,V_F_ABR_E_BTL_14800.wav,V_F_ABR_E_BTL_14800,147,147,147,148,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,อึ่ก!,,HURT_CRY,READY_FOR_GENERATION,,triangle-strategy
149,V_F_ABR_E_BTL_14900.wav,V_F_ABR_E_BTL_14900,148,148,148,149,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,อึก!,,HURT_CRY,READY_FOR_GENERATION,,triangle-strategy
150,V_F_ABR_E_BTL_15000.wav,V_F_ABR_E_BTL_15000,149,149,149,150,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,โอ๊ย!,,HURT_CRY,READY_FOR_GENERATION,,triangle-strategy
151,V_F_ABR_E_BTL_15100.wav,V_F_ABR_E_BTL_15100,150,150,150,151,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,โอ๊ย!,,HURT_CRY,READY_FOR_GENERATION,,triangle-strategy
154,V_F_ABR_E_BTL_15400.wav,V_F_ABR_E_BTL_15400,153,153,153,154,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ช้าไป,,,READY_FOR_GENERATION,,triangle-strategy
155,V_F_ABR_E_BTL_15500.wav,V_F_ABR_E_BTL_15500,154,154,154,155,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,อ่อนหัด,,,READY_FOR_GENERATION,,triangle-strategy
156,V_F_ABR_E_BTL_15600.wav,V_F_ABR_E_BTL_15600,155,155,155,156,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ดี,,,READY_FOR_GENERATION,,triangle-strategy
157,V_F_ABR_E_BTL_15700.wav,V_F_ABR_E_BTL_15700,156,156,156,157,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ฉลาดดีนี่,,,READY_FOR_GENERATION,,triangle-strategy
158,V_F_ABR_E_BTL_15800.wav,V_F_ABR_E_BTL_15800,157,157,157,158,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ดี,,,READY_FOR_GENERATION,,triangle-strategy
159,V_F_ABR_E_BTL_15900.wav,V_F_ABR_E_BTL_15900,158,158,158,159,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,สมบูรณ์แบบ,,,READY_FOR_GENERATION,,triangle-strategy
160,V_F_ABR_E_BTL_16000.wav,V_F_ABR_E_BTL_16000,159,159,159,160,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เท่านี้ก็พอ,,,READY_FOR_GENERATION,,triangle-strategy
161,V_F_ABR_E_BTL_16100.wav,V_F_ABR_E_BTL_16100,160,160,160,161,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,สมบูรณ์แบบ,,,READY_FOR_GENERATION,,triangle-strategy
162,V_F_ABR_E_BTL_16200.wav,V_F_ABR_E_BTL_16200,161,161,161,162,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ข้า...แพ้งั้นรึ?,,,READY_FOR_GENERATION,,triangle-strategy
163,V_F_ABR_E_BTL_16300.wav,V_F_ABR_E_BTL_16300,162,162,162,163,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ข้า...แพ้งั้นรึ?,,,READY_FOR_GENERATION,,triangle-strategy
281,V_F_ABR_BTL_00400.wav,V_F_ABR_BTL_00400,0,0,0,1,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,หนีไปซะ ตอนที่ยังมีโอกาส!,,,READY_FOR_GENERATION,,triangle-strategy
282,V_F_ABR_BTL_00500.wav,V_F_ABR_BTL_00500,1,1,1,2,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ข้าจะบดขยี้เจ้า!,,,READY_FOR_GENERATION,,triangle-strategy
283,V_F_ABR_BTL_00600.wav,V_F_ABR_BTL_00600,2,2,2,3,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,กล้าก็มาสู้กับข้า,,,READY_FOR_GENERATION,,triangle-strategy
284,V_F_ABR_BTL_00700.wav,V_F_ABR_BTL_00700,3,3,3,4,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ตาข้าแล้ว,,,READY_FOR_GENERATION,,triangle-strategy
285,V_F_ABR_BTL_01700.wav,V_F_ABR_BTL_01700,4,4,4,5,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,ไม่เลว,,,READY_FOR_GENERATION,,triangle-strategy
286,V_F_ABR_BTL_01800.wav,V_F_ABR_BTL_01800,5,5,5,6,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เก่งกว่าที่เห็นนะ,,,READY_FOR_GENERATION,,triangle-strategy
287,V_F_ABR_BTL_01900.wav,V_F_ABR_BTL_01900,6,6,6,7,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,เจ้าไม่มีวันเอาชนะข้าได้!,,,READY_FOR_GENERATION,,triangle-strategy
288,V_F_ABR_BTL_02000.wav,V_F_ABR_BTL_02000,7,7,7,8,Avlora,battle,female,avlora,assets/triangle-strategy/approved_voice_references/avlora.wav,พวกมันได้เปรียบอยู่หรือ?,,,READY_FOR_GENERATION,,triangle-strategy
