translation_id,english_text,count,thai_text
BT0001,Flee while you have the chance!,3,หนีไปซะ ตอนที่ยังมีโอกาส!
BT0002,I will crush you!,2,ข้าจะบดขยี้เจ้า!
BT0003,Face me if you dare.,2,กล้าก็มาสู้กับข้า
BT0004,Not bad.,6,ไม่เลว
BT0005,Stronger than you look.,3,เก่งกว่าที่เห็นนะ
BT0006,You will not get the best of me!,2,เจ้าไม่มีวันเอาชนะข้าได้!
BT0007,Insolent swine!,2,ไอ้หมูโอหัง!
BT0008,Take this!,16,รับนี่ไป!
BT0009,You were no match for me.,3,เจ้าเทียบข้าไม่ได้เลย
BT0010,This will hurt.,2,นี่ต้องเจ็บแน่
BT0011,Surrender!,2,ยอมแพ้ซะ!
BT0012,CURSES!,3,บ้าเอ๊ย!
BT0013,That could have gone better.,2,น่าจะทำได้ดีกว่านี้
BT0014,Too slow.,2,ช้าไป
BT0015,Weakling.,2,อ่อนหัด
BT0016,Good.,4,ดี
BT0017,Clever move.,2,ฉลาดดีนี่
BT0018,Perfect.,4,สมบูรณ์แบบ
BT0019,That will do.,2,เท่านี้ก็พอ
BT0020,I... lost?,3,ข้า...แพ้งั้นรึ?
BT0021,My turn.,5,ตาข้าแล้ว
BT0022,Do they have the upper hand?,1,พวกมันได้เปรียบอยู่หรือ?
BT0023,HRAH!,2,ฮึ่ย!
BT0024,Let me put you out of your misery.,1,ข้าจะช่วยให้เจ้าพ้นจากความทรมานเอง
BT0025,You left yourself open.,1,เจ้าประมาทแล้ว
BT0026,Fool.,2,โง่เขลา
BT0027,This is my chance.,1,นี่คือโอกาสของข้า
BT0028,Is that all you've got?,2,มีดีแค่นี้รึ?
BT0029,"Underestimate me, will you?",1,กล้าดูถูกข้างั้นรึ?
BT0030,That was careless.,1,ประมาทไปแล้ว
BT0031,Don't get cocky.,1,อย่าได้ใจนัก
BT0032,Leave the rest to me.,2,ที่เหลือฝากข้าเอง
BT0033,I leave it to you.,1,ฝากที่เหลือด้วย
BT0034,Use this.,3,ใช้นี่ซะ
BT0035,Must be prepared.,1,ต้องเตรียมพร้อมไว้
BT0036,My sword would like a word.,1,ดาบของข้ามีเรื่องจะคุยกับเจ้า
BT0037,"If you value your life, move.",1,ถ้ายังรักชีวิต ก็หลีกไป
BT0038,Uninvited guests!,1,แขกไม่ได้รับเชิญ!
BT0039,Do not expect mercy!,1,อย่าหวังความเมตตา!
BT0040,Misfortune has brought you to me.,1,โชคร้ายพาเจ้ามาเจอข้า
BT0041,You will die by my hand.,1,เจ้าจะตายด้วยมือข้า
BT0042,I do not leave survivors.,1,ข้าไม่ปล่อยผู้รอดชีวิต
BT0043,I'll cut you all down!,1,ข้าจะฟันพวกเจ้าให้หมด!
BT0044,You'll be nothing but a bloodstain upon my blade.,1,เจ้าจะเหลือเพียงคราบเลือดบนคมดาบข้า
BT0045,HRAAAA!,1,ย๊ากก!
BT0046,"If I must destroy myself, so be it.",1,หากต้องทำลายตนเอง ก็ช่างมัน
BT0047,I am finished.,1,ข้าจบสิ้นแล้ว
BT0048,There is no end to what I can learn.,1,ยังมีอีกมากให้ข้าเรียนรู้
BT0049,I've got it!,1,เข้าใจแล้ว!
BT0050,I must become stronger!,1,ข้าต้องแข็งแกร่งขึ้น!
BT0051,This was bound to happen.,1,เรื่องนี้ต้องเกิดขึ้นอยู่แล้ว
BT0052,Understood.,8,เข้าใจแล้ว
BT0053,Very well.,2,ได้
BT0054,I'll get there one day.,1,สักวันข้าจะไปถึง
BT0055,We've far yet to go together.,1,หนทางของเรายังอีกไกล
BT0056,Your orders?,1,มีคำสั่งอะไร?
BT0057,Time to work.,1,ได้เวลาทำงาน
BT0058,I will end this.,2,ข้าจะจบเรื่องนี้
BT0059,I was prepared for this.,1,ข้าเตรียมใจไว้แล้ว
BT0060,I can still move.,1,ข้ายังขยับได้
BT0061,We must tread carefully.,1,เราต้องระวังให้มาก
BT0062,I need a healer.,1,ข้าต้องการผู้รักษา
