line_no,file_name,self_id,cue,sequence,waveform,awb_stream,character_name,role,gender,voice_target,voice_project,reference_audio,thai_text,pronunciation_note,prosody_note,status,tts_text
1,MS01_X01_A0_0020_F_HEW_0010.wav,MS01_X01_A0_0020_F_HEW_0010,0,0,0,1,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,องค์ชาย ท่านกลับมาสักที,,,PENDING_MANUAL_GENERATION,
2,MS01_X01_A0_0020_M_RLN_0010.wav,MS01_X01_A0_0020_M_RLN_0010,8,8,8,9,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,สบายใจได้ ฮิวเอทท์ ทุกอย่างเรียบร้อยดีระหว่างที่ข้าไม่อยู่ใช่ไหม?,,,PENDING_MANUAL_GENERATION,
3,MS01_X01_A0_0020_F_HEW_0020.wav,MS01_X01_A0_0020_F_HEW_0020,1,1,1,2,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,ราบรื่นเจ้าค่ะ ว่าแต่ท่านไปวูลฟ์ฟอร์ตอีกแล้วเหรอ?,,,PENDING_MANUAL_GENERATION,
4,MS01_X01_A0_0020_M_RLN_0020.wav,MS01_X01_A0_0020_M_RLN_0020,9,9,9,10,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,ใช่แล้วล่ะ ข้ามีธุระนิดหน่อย ขอโทษด้วยที่ไม่ได้บอกเจ้าก่อน,,,PENDING_MANUAL_GENERATION,
5,MS01_X01_A0_0020_F_HEW_0030.wav,MS01_X01_A0_0020_F_HEW_0030,2,2,2,3,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,ขอโทษเหรอเจ้าคะ ท่านเองก็รู้ดีว่าข้าอยู่ใต้บัญชาของพ่อท่าน หากท่านออกนอกปราสาท...ข้าก็ต้องร่วมทางไปกับท่านทุกครั้งนะเจ้าคะ,,,PENDING_MANUAL_GENERATION,
6,MS01_X01_A0_0020_M_RLN_0030.wav,MS01_X01_A0_0020_M_RLN_0030,10,10,10,11,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,ข้าดูแลตัวเองได้น่า,,,PENDING_MANUAL_GENERATION,
7,MS01_X01_A0_0020_M_RLN_0040.wav,MS01_X01_A0_0020_M_RLN_0040,11,11,11,12,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,อีกอย่าง หากข้าเป็นอะไรไป คงไม่มีใครมาเดือดร้อนอะไรกับข้าหรอก โดยเฉพาะท่านพ่อกับแฟรนี่,,,PENDING_MANUAL_GENERATION,
8,MS01_X01_A0_0020_M_RLN_0050.wav,MS01_X01_A0_0020_M_RLN_0050,12,12,12,13,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,ส่วนคอร์เดเลียเองก็คงใช้ชีวิตตามปกติได้โดยที่ไม่มีข้าเช่นกัน,,,PENDING_MANUAL_GENERATION,
9,MS01_X01_A0_0020_F_HEW_0040.wav,MS01_X01_A0_0020_F_HEW_0040,3,3,3,4,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,แหม มันไม่ใช่กับข้าซะหน่อย! ข้าสาบานจะจงรักภักดีต่อท่านเพียงผู้เดียวนะ ท่านลืมไปแล้วเหรอ?,,,PENDING_MANUAL_GENERATION,
10,MS01_X01_A0_0020_M_RLN_0060.wav,MS01_X01_A0_0020_M_RLN_0060,13,13,13,14,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,ฮิวเอทท์...,,,PENDING_MANUAL_GENERATION,
11,MS01_X01_A0_0020_M_RLN_0070.wav,MS01_X01_A0_0020_M_RLN_0070,14,14,14,15,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,ยกโทษให้ข้าด้วย... ข้าจะไม่ให้มันเกิดขึ้นอีก,,,PENDING_MANUAL_GENERATION,
12,MS01_X01_A0_0020_F_HEW_0060.wav,MS01_X01_A0_0020_F_HEW_0060,4,4,4,5,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,...ขอให้เป็นอย่างนั้นเจ้าค่ะ,,,PENDING_MANUAL_GENERATION,
13,MS01_X01_A0_0020_F_HEW_0070.wav,MS01_X01_A0_0020_F_HEW_0070,5,5,5,6,ฮิวเอทท์,unknown,female,hughette,triangle-strategy,work/chapter1_voice_mapping/chapter1_voice_references/candidates/CHAR_ID_P007/candidate_01.wav,แสดงว่าท่านตั้งใจที่จะเข้าร่วมงานประลองพรุ่งนี้ เคียงข้างตระกูลวูลฟ์ฟอร์ตสินะเจ้าคะ,,,PENDING_MANUAL_GENERATION,
14,MS01_X01_A0_0020_M_RLN_0080.wav,MS01_X01_A0_0020_M_RLN_0080,15,15,15,16,โรแลนด์,unknown,male,roland,triangle-strategy,assets/approved_voice_references/roland.wav,นี่เจ้ารู้ได้ยังไง—!?,,,PENDING_MANUAL_GENERATION,
