line_no,bank,bank_variant,cue_name,battle_cue_id,cue,sequence,waveform,awb_stream,character_code,character_name,gender,voice_target,classification,action,status,uexp_path,awb_path,audio_duration_sec,english_text,thai_text,transcript_status,transcript_source,battle_cry_class,thai_battle_cry
1,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00100,100,0,0,0,1,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
2,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00200,200,1,1,1,2,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
3,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00300,300,2,2,2,3,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
4,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00400,400,3,3,3,4,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,1.926,Flee while you have the chance!,หนีไปซะ ตอนที่ยังมีโอกาส!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
5,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00500,500,4,4,4,5,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,1.368,I will crush you!,ข้าจะบดขยี้เจ้า!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
6,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00600,600,5,5,5,6,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,1.778,Face me if you dare.,กล้าก็มาสู้กับข้า,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
7,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00700,700,6,6,6,7,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,1.926,Flee while you have the chance!,หนีไปซะ ตอนที่ยังมีโอกาส!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
8,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00800,800,7,7,7,8,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
9,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_00900,900,8,8,8,9,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
10,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01000,1000,9,9,9,10,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
11,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01100,1100,10,10,10,11,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
12,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01200,1200,11,11,11,12,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
13,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01300,1300,12,12,12,13,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
14,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01400,1400,13,13,13,14,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
15,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01500,1500,14,14,14,15,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
16,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01600,1600,15,15,15,16,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.003,,,PLACEHOLDER_NO_AUDIO,vgmstream duration check,,
17,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01700,1700,16,16,16,17,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,0.897,Not bad.,ไม่เลว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
18,V_F_ABR_E_EN,E,V_F_ABR_E_BTL_01800,1800,17,17,17,18,ABR,Avlora,female,avlora,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_F_ABR_E_EN.uexp,work/opening_trace_phase2/awb/V_F_ABR_E_EN.awb,1.591,Stronger than you look.,เก่งกว่าที่เห็นนะ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
